split,image_id,original_image_filename,original_mask_filename,output_filename,foreground_pixels,foreground_fraction,has_annotation
train,44,тест 7 фон 2.png,тест 7 фон 2.png,train_044.png,25984,0.09912109375,True
train,45,тест 7 фон 3.png,тест 7 фон 3.png,train_045.png,25984,0.09912109375,True
train,46,тест 7 фон 4.png,тест 7 фон 4.png,train_046.png,25984,0.09912109375,True
train,47,тест 7 фон 5.png,тест 7 фон 5.png,train_047.png,25984,0.09912109375,True
train,48,тест 7 фон 6.png,тест 7 фон 6.png,train_048.png,25984,0.09912109375,True
train,49,тест 7 фон 7.png,тест 7 фон 7.png,train_049.png,25984,0.09912109375,True
val,1,тест 1 фон 8.png,тест 1 фон 8.png,val_001.png,16340,0.0623321533203125,True
val,2,тест 2 фон 8.png,тест 2 фон 8.png,val_002.png,29022,0.11071014404296875,True
val,3,тест 3 фон 8.png,тест 3 фон 8.png,val_003.png,40940,0.1561737060546875,True
val,4,тест 4 фон 8.png,тест 4 фон 8.png,val_004.png,107278,0.40923309326171875,True
val,5,тест 5 фон 8.png,тест 5 фон 8.png,val_005.png,27772,0.1059417724609375,True
val,6,тест 6 фон 8.png,тест 6 фон 8.png,val_006.png,15493,0.059101104736328125,True
val,7,тест 7 фон 8.png,тест 7 фон 8.png,val_007.png,25984,0.09912109375,True
test,1,тест 1 фон 9.png,тест 1 фон 9.png,test_001.png,16340,0.0623321533203125,True
test,2,тест 2 фон 9.png,тест 2 фон 9.png,test_002.png,29022,0.11071014404296875,True
test,3,тест 3 фон 9.png,тест 3 фон 9.png,test_003.png,40940,0.1561737060546875,True
test,4,тест 4 фон 9.png,тест 4 фон 9.png,test_004.png,107278,0.40923309326171875,True
test,5,тест 5 фон 9.png,тест 5 фон 9.png,test_005.png,27772,0.1059417724609375,True
test,6,тест 6 фон 9.png,тест 6 фон 9.png,test_006.png,15493,0.059101104736328125,True
test,7,тест 7 фон 9.png,тест 7 фон 9.png,test_007.png,25984,0.09912109375,True
